,num_cases
373,69.35487693
374,66.21900418
375,64.45445778
376,63.01538248
377,60.76075269
378,57.20141918
379,52.83593913
380,49.23875407
381,46.97978258
382,45.76003724
383,44.90944214
384,43.67225214
385,41.72984922
386,39.3319525
387,37.34190331
388,36.10048847
389,35.56392319
390,35.41176592
391,35.25890391
392,35.02706287
393,34.73327338
394,34.48536952
395,34.33059635
396,34.35217832
397,34.43234072
398,34.41860471
399,34.37346343
