HomeMSOA,DestinationMSOA,Total_Flow
2003124,2003163,0
2003124,2003164,0
2003124,2003165,0
2003124,2003166,0
2003124,2003167,0
2003124,2003168,0
2003124,2003169,0
2003124,2003170,0
2003124,2003171,0
2003124,2004129,0
2003124,2004130,0
2003124,2004131,0
2003124,2004132,0
2003124,2004133,0
2003124,2004134,0
2003124,2004135,0
2003124,2004136,0
2003124,2004137,0
2003124,2004138,0
2003124,2004139,0
2003124,2004140,0
2003124,2004141,0
2003124,2004142,0
2003124,2004143,0
2003124,2004144,0
2003124,2004145,0
2003124,2004146,0
2003124,2004147,0
2003124,2004148,0
2003124,2004149,0
2003124,2004150,0
2003124,2004151,0
2003124,2004152,0
2003124,2004153,0
2003124,2004154,0
2003124,2004155,0
2003124,2004156,0
2003124,2004157,0
2003124,2004158,0
2003124,2004159,0
2003124,2004160,0
2003124,2004161,0
2003124,2004162,0
2003124,2004163,0
2003124,2004164,0
2003124,2004165,0
2003124,2004166,0
2003124,2004167,0
2003124,2004168,0
2003124,2004169,0
2003124,2004170,0
2003124,2004171,0
2003124,2004172,0
2003124,2004173,0
2003124,2004174,0
2003124,2004175,0
2003124,2004176,0
2003124,2004177,0
2003124,2004178,0
2003124,2004179,0
2003124,2004180,0
2003124,2004181,0
2003124,2004182,0
2003124,2004183,0
2003124,2004184,0
2003124,2004185,0
2003124,2004186,0
2003124,2004187,0
2003124,2004188,0
2003124,2004189,448
2003124,2004190,0
2003124,2004191,24
2003124,2004192,0
2003124,2004193,0
2003124,2004194,0
2003124,2004195,0
2003124,2004196,0
2003124,2004197,0
2003124,2004198,0
2003124,2004199,0
2003124,2004200,0
2003124,2004201,0
2003124,2004202,0
2003124,2004203,0
2003124,2004204,0
2003124,2004205,0
2003124,2004206,0
2003124,2004207,0
2003124,2004208,0
2003124,2004209,0
2003124,2004210,0
2003124,2004211,0
2003124,2004212,0
2003124,2004213,0
2003124,2004214,0
2003124,2004215,0
2003124,2004216,0
2003124,2004217,0
2003124,2004218,0
2003124,2004219,0
2003124,2004220,0
2003124,2004221,0
2003124,2004222,0
2003124,2004223,0
2003124,2004224,0
2003124,2004225,0
2003124,2004226,0
2003124,2004227,0
2003124,2004228,0
2003124,2004229,0
2003124,2004230,0
2003124,2004231,0
2003124,2004232,0
2003124,2004233,75
2003124,2004234,0
2003124,2004235,0
2003124,2006840,0
2003125,2003122,219
2003125,2003123,96
2003125,2003124,0
2003125,2003125,151
2003125,2003126,647
2003125,2003127,160
2003125,2003128,135
2003125,2003129,236
2003125,2003130,139
2003125,2003131,102
2003125,2003132,118
2003125,2003133,53
2003125,2003134,107
2003125,2003135,342
2003125,2003136,104
2003125,2003137,163
2003125,2003138,94
2003125,2003139,0
2003125,2003140,113
2003125,2003141,71
2003125,2003142,118
2003125,2003143,0
2003125,2003144,211
2003125,2003145,217
2003125,2003146,57
2003125,2003147,267
2003125,2003148,987
