MSOA11CD,cases
E02000642,33
E02000643,60
E02000644,27
E02000645,22
E02000646,27
E02000647,33
E02000648,0
E02000649,66
E02000650,0
E02000651,0
E02000652,0
E02000653,27
E02000654,27
E02000655,44
E02000657,0
E02000658,22
E02000659,0
E02000660,0
E02000661,0
E02000662,33
E02000663,0
E02000664,49
E02000665,0
E02000666,33
E02000667,16
E02000668,0
E02000669,22
E02000670,16
E02000671,0
E02000672,22
E02000673,22
E02000674,33
E02000675,16
E02000676,27
E02000677,22
E02000678,27
E02000679,22
E02000680,27
E02000681,33
E02000682,27
E02000683,0
E02000685,0
E02000686,0
E02000687,0
E02000689,0
E02000690,22
E02000691,16
E02000692,22
E02000693,44
E02000694,44
E02000695,0
E02000696,44
E02000697,33
E02000698,0
E02000699,0
E02000700,16
E02000701,44
E02000702,22
E02000703,27
E02000704,0
E02000705,16
E02000706,0
E02000707,16
E02000708,16
E02000709,0
E02000710,38
E02000711,22
E02000712,0
E02000713,16
E02000714,0
E02000715,55
E02000716,0
E02000717,0
E02000718,0
E02000719,0
E02000720,27
E02000721,38
E02000722,16
E02000723,27
E02000724,27
E02000725,16
E02000726,16
E02000727,22
E02000728,0
E02000729,16
E02000730,0
E02000731,0
E02000732,22
E02000733,0
E02000734,16
E02000735,22
E02000736,27
E02000737,33
E02000738,0
E02000739,22
E02000740,22
E02000741,16
E02000742,0
E02000743,0
E02000744,0
E02000745,27
E02000746,27
E02000747,38
E02000748,0
E02000749,22
E02000750,0
E02000751,71
E02000752,0
E02000753,0
E02000754,0
E02000755,0
E02000756,0
E02000757,16
E02000758,0
E02000759,27
E02000760,0
E02000762,0
E02000763,0
E02000764,0
E02000765,0
E02000767,16
E02000768,0
E02000769,27
E02000770,0
E02000772,0
E02000773,0
E02000774,0
E02000776,0
E02000777,0
E02000779,0
E02000780,16
E02000781,38
E02000782,0
E02000783,0
E02000784,0
E02000785,27
E02000786,33
E02000787,0
E02000788,0
E02000789,16
E02000790,16
E02000791,0
E02000792,0
E02000793,44
E02000794,0
E02000795,0
E02000796,38
E02000797,0
E02000798,0
E02000799,0
E02000800,0
E02000801,0
E02000802,0
E02000803,0
E02000804,22
E02000805,44
E02000806,22
E02000807,33
E02000808,33
E02000809,16
E02000810,38
E02000812,38
E02000813,0
E02000814,22
E02000815,0
E02000816,44
E02000817,33
E02000818,44
E02000819,44
E02000820,0
E02000821,22
E02000822,22
E02000823,33
E02000824,49
E02000825,38
E02000826,44
E02000827,44
E02000828,38
E02000829,33
E02000830,49
E02000831,49
E02000832,22
E02000833,27
E02000834,44
E02000835,16
E02000836,49
E02000837,0
E02000838,44
E02000839,49
E02000840,27
E02000841,0
E02000842,0
E02000843,16
E02000844,0
E02000845,0
E02000846,27
E02000847,22
E02000848,27
E02000849,0
E02000850,33
E02000851,38
E02000852,16
E02000853,0
E02000854,0
E02000855,38
E02000856,22
E02000857,38
E02000858,0
E02000859,0
E02000860,16
E02000861,22
E02000863,22
E02000864,76
E02000865,0
E02000866,16
E02000867,16
E02000868,0
E02000869,16
E02000870,0
E02000871,16
E02000872,27
E02000873,22
E02000874,0
E02000875,22
E02000876,0
E02000877,22
E02000878,16
E02000879,33
E02000880,16
E02000881,16
E02000882,0
E02000883,33
E02000884,0
E02000885,22
E02000886,0
E02000887,22
E02000888,27
E02000889,22
E02000890,0
E02000891,44
E02000893,0
E02000894,0
E02000895,49
E02000896,44
E02000897,27
E02000898,27
E02000899,0
E02000900,0
E02000901,27
E02000902,0
E02000903,0
E02000904,27
E02000905,27
E02000906,0
E02000907,16
E02000908,55
E02000909,16
E02000910,0
E02000911,38
E02000912,0
E02000913,22
E02000914,44
E02000915,0
E02000916,0
E02000917,16
E02000918,0
E02000919,0
E02000920,0
E02000921,33
E02000922,33
E02000923,0
E02000924,27
E02000925,33
E02000926,0
E02000927,44
E02000928,0
E02000929,0
E02000930,27
E02000931,0
E02000932,27
E02000933,16
E02000934,22
E02000935,27
E02000936,22
E02000937,0
E02000938,0
E02000939,22
E02000940,16
E02000941,76
E02000942,49
E02000943,38
E02000944,49
E02000945,33
E02000946,27
E02000947,0
E02000948,22
E02000949,0
E02000950,0
E02000951,0
E02000952,27
E02000953,27
E02000954,38
E02000955,38
E02000956,60
E02000957,49
E02000958,38
E02000959,33
E02000960,44
E02000961,16
E02000962,44
E02000963,27
E02000964,27
E02000965,22
E02000966,27
E02000967,27
E02000968,98
E02000969,49
E02000970,0
E02000971,27
E02000972,55
E02000973,0
E02000974,0
E02000975,16
E02000976,16
E02000977,16
E02000978,0
E02000979,22
E02000980,38
E02000981,0
E02000982,27
E02000983,27
E02006782,27
E02006783,0
E02006784,33
E02006785,0
E02006786,0
E02006787,27
E02006788,27
E02006789,0
E02006791,22
E02006792,38
E02006793,49
E02006794,0
E02006795,33
E02006796,44
E02006798,38
E02006799,16
E02006800,44
E02006801,38
E02006802,22
E02006836,22
E02006853,16
E02006854,0
E02006882,33
E02006918,16
E02006921,0
E02006924,16
E02006925,33
E02006927,16
E02006928,16
E02006929,16
E02006930,0
E02006931,49
