MSOA11CD,cases
E02006573,0
E02006574,0
E02006575,0
E02006576,0
E02006577,22
E02006578,0
E02006579,0
E02006580,0
E02006581,0
E02006582,0
E02006583,0
E02006584,0
E02006585,0
E02006586,0
E02006587,0
E02006588,0
E02006589,0
E02006590,0
E02006591,22
E02006592,0
E02006593,27
E02006594,0
E02006595,0
E02006596,0
E02006597,0
E02006598,0
E02006599,0
E02006600,0
E02006601,0
E02006602,0
E02006603,0
E02006604,16
E02006605,0
E02006606,0
E02006607,0
E02006608,0
E02006609,0
E02006610,16
E02006611,0
E02006612,22
E02006613,0
E02006614,0
E02006615,0
E02006616,0
E02006617,0
E02006618,0
E02006619,33
E02006620,0
E02006621,0
E02006622,0
E02006623,0
E02006624,0
E02006625,0
E02006626,0
E02006627,0
E02006628,0
E02006629,0
E02006630,0
E02006631,0
E02006632,0
E02006633,0
E02006790,38
E02006821,0
E02006822,0
E02006823,0
E02006824,16
E02006829,0
E02006830,0
E02006831,0
E02006832,0
E02006833,0
E02006837,22
E02006838,0
E02006839,0
E02006855,0
E02006856,0
E02006857,0
E02006858,0
E02006879,0
E02006880,0
E02006886,0
