,URN,zonei,east,north,MSOA
3491,105922,3491,373480,404215,E02001159
3492,105820,3492,387374,404213,E02001156
3493,105822,3493,387130,404209,E02001156
3494,140100,3494,394384,404195,E02001116
3495,105941,3495,371753,404192,E02001157
3496,141097,3496,435604,404178,E02001529
3497,130384,3497,356921,404173,E02001301
3498,105196,3498,375994,404158,E02001017
3499,105554,3499,385255,404158,E02001045
3500,106415,3500,362015,404138,E02001302
3501,105342,3501,381388,404107,E02001042
3502,143940,3502,440880,404100,E02001528
3503,105666,3503,398260,404093,E02001110
3504,137689,3504,385826,404082,E02001046
3505,119381,3505,344389,404070,E02005311
3506,137760,3506,526130,404055,E02002748
3507,105723,3507,400034,403977,E02001117
3508,104936,3508,337290,403976,E02001445
3509,105626,3509,393506,403974,E02001119
3510,105700,3510,396014,403963,E02001123
3511,131265,3511,460290,403963,E02001556
3512,140597,3512,391979,403943,E02006860
3513,145713,3513,355574,403925,E02001307
3514,105676,3514,392687,403884,E02001121
3515,138712,3515,477632,403863,E02002768
3516,105397,3516,383910,403844,E02001048
3517,106492,3517,352724,403834,E02001304
3518,106404,3518,357231,403809,E02001306
3519,139704,3519,392120,403796,E02006860
3520,145079,3520,459591,403793,E02001556
3521,104891,3521,337264,403790,E02001445
3522,105465,3522,384716,403778,E02001045
3523,106498,3523,367394,403726,E02001303
3524,105912,3524,372952,403701,E02001158
3525,106588,3525,423219,403701,E02001532
3526,106425,3526,367515,403694,E02001303
3527,105351,3527,382323,403684,E02001041
3528,106412,3528,352702,403677,E02001304
3529,106641,3529,440632,403665,E02001531
3530,144371,3530,367048,403649,E02001303
3531,105686,3531,390773,403643,E02001124
3532,105412,3532,386985,403619,E02001047
3533,145096,3533,337945,403576,E02001446
3534,105718,3534,390860,403575,E02001124
3535,106731,3535,458379,403571,E02001557
3536,133712,3536,389993,403560,E02001125
3537,106515,3537,368153,403493,E02001308
3538,105699,3538,395024,403491,E02001123
3539,135307,3539,372910,403464,E02001158
3540,105530,3540,387065,403445,E02001047
3541,130955,3541,363804,403430,E02001305
3542,141333,3542,394670,403410,E02001123
3543,146399,3543,356604,403401,E02001307
3544,105913,3544,371690,403380,E02001160
3545,105938,3545,372766,403367,E02001157
3546,138702,3546,445457,403360,E02001533
3547,105533,3547,388721,403348,E02001047
3548,105307,3548,381771,403342,E02001041
3549,106443,3549,368114,403310,E02001308
3550,105937,3550,374010,403269,E02001159
3551,106447,3551,360404,403266,E02001310
